,Cape Town,Oxford,Hyderabad
1940,543.2800909532543,515.535475779053,1123.3451773060092
1941,473.52888145631516,520.9129433268622,837.3262512124173
1942,444.92698884695676,548.7354928133508,911.2859135728577
1943,443.36830260121474,507.19650436433534,1079.8578310498174
1944,514.9899355930429,517.951439459953,921.8849800439006
1945,316.02363632412147,471.89226089828696,565.101698393637
1946,312.67246089577776,578.0387942332933,797.891489195153
1947,307.4508619725433,395.3607662323719,833.8971414717842
1948,354.2893836570794,631.7355353990929,940.5112806805136
1949,294.74756906974875,505.55988380630674,1002.001453075022
1950,317.6602568821504,626.4360021635715,884.320641521527
1951,386.0865830702097,747.3121205208362,986.3366563053187
1952,402.5307229627832,691.0435470495627,780.2783346182723
1953,286.87620352875297,561.2829170915707,804.9055773009912
1954,653.9468144009114,633.1383530202601,808.3346870416215
1955,490.5185615348992,542.2669448935223,1030.6812799966685
1956,529.018111804719,489.1936782260185,1012.756388170638
1957,722.7628121504055,535.6425283491203,804.2821028026941
1958,429.0283891403908,663.8444720613714,973.087823216514
1959,420.84528635024833,517.4838335862303,952.2014275235761
1960,468.15141390850675,732.8163384354386,703.5130370154955
1961,530.3429951135996,463.3194865467076,891.6464668765127
1962,637.8144117574853,556.2951211051967,1092.3273210157504
1963,457.2406101883152,597.132700743629,832.4943238506181
1964,560.1918367195509,508.4434533609295,1046.3460767663723
1965,567.5176620745375,609.0566505235516,954.3056539553274
1966,441.1861418571761,684.4191305051602,1099.8869493075968
1967,463.0856836098467,679.7430717679362,923.9892064756523
1968,649.9721644742706,800.2295185637648,933.3413239501023
1969,524.2641187552059,660.4932966330266,888.7628973218912
1970,561.3608514038581,707.0980153807022,952.0455588990022
1971,506.18335830460296,685.5102108771795,581.3120353493513
1972,395.0490289832236,715.514921107706,429.72979795097524
1973,475.3213706389185,522.2378266357416,696.8106861588068
1974,655.0378947729307,770.6144798946737,834.2088787209336
1975,522.7833668217517,615.1355268819442,1124.747994927176
1976,616.5383445031118,586.2218970234366,697.044489095669
1977,818.0764760775072,678.9637286450643,571.881983562614
1978,508.9889935469374,666.8059759282803,831.4032434785979
1979,557.3082671649298,845.7431569394215,782.070823800874
1980,601.964628105427,741.4670470993051,779.4989914954009
1981,588.4040577674753,744.5844195907891,726.0360532664635
1982,545.7739889464408,803.7365626166833,653.5571428394765
1983,730.9459149405493,687.3027000597824,1178.2888674684025
1984,703.6689056400706,663.9224063736584,613.5768406362031
1985,675.144947342998,705.5393291349601,576.4021736752652
1986,752.767522380932,687.6923716212177,594.872605687303
1987,772.2511004527026,709.2801761247408,756.6642379952862
1988,596.431291933045,649.8162958496958,898.5046863577766
1989,729.7769002562426,666.0266328054089,1073.3113488177032
1990,640.5421126875333,502.28664269024966,1291.449488909246
1991,719.1778337851988,599.7824673613892,732.27079824943
1992,682.0031668242614,832.9619297243396,791.5788098998997
1993,750.5853616368934,720.3468484695055,748.6370038297164
1994,625.0331845424034,679.2754658942131,850.1074784274979
1995,572.8171953100584,593.9373939398577,1011.4315048617589
1996,850.0295441152114,502.5983799393971,922.1187829807618
1997,474.69789614062233,613.5768406362026,638.593754880356
1998,551.0735221819622,818.5440819512295,992.8831385374333
1999,542.734550767245,792.8257588964921,747.6238577699853
2000,451.78520832821977,910.8183076991353,901.8558617861215
2001,808.4905556661951,680.990020764529,752.5337194440707
2002,615.9148700048152,806.2304606098702,738.193805983248
2003,502.75424856397103,564.3223552707665,882.7619552757849
2004,625.7345933529874,701.8764164574674,848.4708578694699
2005,639.6069009400887,588.4040577674745,1011.9770450477681
2006,512.6519062244303,708.9684388755917,933.3413239501026
2007,761.7299682939463,810.9844536593824,893.9844962451253
2008,750.975033198329,780.979743428856,950.5648069655476
2009,679.1975315819261,699.5383870888543,797.4238833214304
2010,524.2641187552056,629.2416374059063,1273.2907941463561
2011,507.7420445503446,490.3626929103252,740.609769664148
2012,660.0256907593039,956.4098803870787,847.3797774974508
2013,864.6811948251832,685.6660795017539,1109.0831981574736
2014,641.3214558104042,824.1553524358992,830.2342287942921
2015,476.724188260087,649.5824929128354,668.3646621740214
2016,517.094162024795,692.2904960461564,1154.9865080945647
2017,439.2377840499996,750.2736243877455,1064.8944430906972
2018,602.1204967300022,644.3608939896005,758.9243330516114
2019,513.2753807227278,834.1309444086459,1044.475653271482
2020,553.3336172382878,788.9290432821379,1163.4813481338565
2021,645.6857772984815,772.3290347649887,1036.9160249796346
2022,414.2988041181328,707.3318183175635,1198.863525912192
